@RELATION bitcoin 

@ATTRIBUTE time  real 
@ATTRIBUTE  JPYs  real 
@ATTRIBUTE  JPYb  real 
@ATTRIBUTE  USDs  real 
@ATTRIBUTE  USDb real 
@ATTRIBUTE  ISKs  real
@ATTRIBUTE  SGDs  real
@ATTRIBUTE  SGDb  real
@ATTRIBUTE  CNYs  real
@ATTRIBUTE  CNYb  real
@ATTRIBUTE  RUBs  real 
@ATTRIBUTE  RUBb real 
@ATTRIBUTE  CADs  real 
@ATTRIBUTE CADb  real 
@ATTRIBUTE AUDs real 
@ATTRIBUTE AUDb real 

@data
1445425180,31828.29,31839.08,265.63,265.72,33240.94,369.82,369.94,1685.84,1686.41,16621.36,16626.99,345.71,345.82,368.08,368.21
1445426080,31834.28,31859.45,265.68,265.89,33247.2,369.89,370.18,1686.16,1687.49,16624.49,16637.63,345.77,346.05,368.15,368.44
1445426981,31564.59,31643.12,265.26,265.92,33015.06,366.36,367.28,1683.45,1687.64,16371.33,16412.06,341.73,342.58,361.76,362.66
1445427882,31877.63,31895.62,265.8,265.95,33267.53,370.15,370.35,1687.71,1688.66,16622.59,16631.97,345.77,345.97,368.06,368.27
1445428783,31914.81,31955.59,266.11,266.45,33306.33,370.58,371.05,1689.68,1691.83,16641.97,16663.24,346.17,346.62,368.49,368.96
1445429683,31678.82,31733.56,266.22,266.68,33134.54,367.69,368.33,1689.54,1692.46,16430.58,16458.97,342.96,343.56,363.06,363.69
1445430584,31911.21,31912.41,266.08,266.09,33302.57,370.54,370.55,1689.49,1689.55,16640.1,16640.72,346.14,346.15,368.45,368.46
1445431485,31800.88,31905.22,265.16,266.03,33187.43,369.25,370.47,1683.64,1689.17,16582.56,16636.97,344.94,346.07,367.17,368.38
1445432386,31832.06,31870.44,265.42,265.74,33219.97,369.62,370.06,1685.29,1687.33,16598.82,16618.83,345.28,345.69,367.53,367.98
1445433286,31587.2,31638.36,265.45,265.88,33038.7,366.63,367.22,1684.66,1687.39,16383.06,16409.6,341.97,342.52,362.01,362.6
1445434187,31791.28,31822.47,265.08,265.34,33177.41,369.14,369.51,1683.14,1684.79,16577.56,16593.82,344.83,345.17,367.06,367.42
1445435088,31822.47,31829.66,265.34,265.4,33209.95,369.51,369.59,1684.79,1685.17,16593.82,16597.57,345.17,345.25,367.42,367.5
1445435988,31614.56,31615.75,265.68,265.69,33067.33,366.94,366.96,1686.12,1686.18,16397.25,16397.87,342.27,342.28,362.33,362.34
1445436889,31999.96,32109.1,266.82,267.73,33395.19,371.57,372.83,1694.18,1699.96,16686.38,16743.29,347.1,348.28,369.47,370.73
1445437790,32033.54,32129.49,267.1,267.9,33430.24,371.96,373.07,1695.96,1701.04,16703.89,16753.92,347.46,348.5,369.86,370.97
1445438691,31860.88,31927.52,267.75,268.31,33324.97,369.8,370.58,1699.25,1702.81,16525.01,16559.57,344.93,345.66,365.15,365.91
1445439591,32019.15,32116.3,266.98,267.79,33415.22,371.79,372.92,1695.2,1700.34,16696.38,16747.04,347.31,348.36,369.69,370.81
1445440492,32134.29,32176.26,267.94,268.29,33535.37,373.13,373.61,1701.3,1703.52,16756.42,16778.31,348.56,349.01,371.02,371.51
1445441393,32165.47,32181.06,268.2,268.33,33567.91,373.49,373.67,1702.95,1703.77,16772.68,16780.81,348.89,349.06,371.38,371.56
1445442294,32115.1,32187.06,267.78,268.38,33515.34,372.9,373.74,1700.28,1704.09,16746.41,16783.94,348.35,349.13,370.8,371.63
1445443194,32164.27,32260.21,268.19,268.99,33566.66,373.47,374.59,1702.88,1707.96,16772.05,16822.08,348.88,349.92,371.37,372.48
1445444095,31870.4,31940.61,267.83,268.42,33334.93,369.91,370.73,1699.76,1703.5,16529.95,16566.36,345.04,345.8,365.26,366.06
1445444996,32133.09,32243.42,267.93,268.85,33534.12,373.11,374.39,1701.23,1707.07,16755.79,16813.33,348.54,349.74,371.01,372.28
1445445897,31907.29,31908.48,268.14,268.15,33373.51,370.34,370.36,1701.73,1701.79,16549.08,16549.7,345.44,345.45,365.68,365.7
1445446797,31870.4,31976.31,267.83,268.72,33334.93,369.91,371.14,1699.76,1705.41,16529.95,16584.87,345.04,346.18,365.26,366.47
