@relation mail

@attribute time real
@attribute html real
@attribute text real
@attribute nonmultipart real
@attribute multipart_text real
@attribute multipart_nontext real
@attribute url real
@attribute urlper real
@attribute spam_word real
@attribute spam_f real
@attribute nonspam real
@attribute spam real

@data
1235746800,0,5,3,2,0,65,0.24995545,0.0427731,20.27770655,3,2
1235833200,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,0,3
1235919600,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,1,2
1236006000,0,4,4,0,0,52,0.19996436,0.03421848,16.22216524,4,0
1236092400,1,9,5,5,0,130,0.4999109,0.0855462,40.5554131,5,5
1236178800,1,8,6,3,0,117,0.44991981,0.07699158,36.49987179,6,3
1236265200,1,8,6,3,0,117,0.44991981,0.07699158,36.49987179,7,2
1236351600,1,8,3,6,0,117,0.44991981,0.07699158,36.49987179,3,6
1236438000,1,3,2,2,0,52,0.19996436,0.03421848,16.22216524,0,4
1236524400,4,3,3,4,0,91,0.34993763,0.05988234,28.38878917,2,5
1236610800,0,6,5,1,0,78,0.29994654,0.05132772,24.33324786,5,1
1236697200,0,10,9,1,0,130,0.4999109,0.0855462,40.5554131,7,3
1236783600,1,9,7,3,0,130,0.4999109,0.0855462,40.5554131,6,4
1236870000,1,7,4,4,0,104,0.39992872,0.06843696,32.44433048,6,2
1236956400,0,8,7,1,0,104,0.39992872,0.06843696,32.44433048,4,4
1237042800,0,5,2,3,0,65,0.24995545,0.0427731,20.27770655,1,4
1237129200,0,3,1,2,0,39,0.14997327,0.02566386,12.16662393,1,2
1237215600,1,7,6,2,0,104,0.39992872,0.06843696,32.44433048,5,3
1237302000,1,9,7,3,0,130,0.4999109,0.0855462,40.5554131,5,5
1237388400,0,13,6,7,0,169,0.64988417,0.11121006,52.72203703,4,9
1237474800,1,5,5,1,0,78,0.29994654,0.05132772,24.33324786,4,2
1237561200,1,4,2,3,0,65,0.24995545,0.0427731,20.27770655,2,3
1237647600,0,5,3,2,0,65,0.24995545,0.0427731,20.27770655,2,3
1237734000,2,4,2,4,0,78,0.29994654,0.05132772,24.33324786,3,3
1237820400,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,1,2
1237906800,1,7,5,3,0,104,0.39992872,0.06843696,32.44433048,5,3
1237993200,1,11,6,6,0,156,0.59989308,0.10265544,48.66649572,6,6
1238079600,0,9,5,4,0,117,0.44991981,0.07699158,36.49987179,5,4
1238166000,2,3,3,2,0,65,0.24995545,0.0427731,20.27770655,4,1
1238252400,0,2,2,0,0,26,0.09998218,0.01710924,8.11108262,2,0
1238338800,2,2,1,3,0,52,0.19996436,0.03421848,16.22216524,2,2
1238425200,1,8,6,3,0,117,0.44991981,0.07699158,36.49987179,4,5
1238511600,0,7,6,1,0,91,0.34993763,0.05988234,28.38878917,4,3
1238598000,1,10,6,5,0,143,0.54990199,0.09410082,44.61095441,5,6
1238684400,2,6,5,3,0,104,0.39992872,0.06843696,32.44433048,6,2
1238770800,0,6,3,3,0,78,0.29994654,0.05132772,24.33324786,2,4
1238857200,0,1,0,1,0,13,0.04999109,0.00855462,4.05554131,0,1
1238943600,1,2,1,2,0,39,0.14997327,0.02566386,12.16662393,2,1
1239030000,0,11,7,4,0,143,0.54990199,0.09410082,44.61095441,4,7
1239116400,2,4,4,2,0,78,0.29994654,0.05132772,24.33324786,5,1
1239202800,0,6,4,2,0,78,0.29994654,0.05132772,24.33324786,4,2
1239289200,1,9,5,5,0,130,0.4999109,0.0855462,40.5554131,5,5
1239375600,1,5,3,3,0,78,0.29994654,0.05132772,24.33324786,3,3
1239462000,0,5,4,1,0,65,0.24995545,0.0427731,20.27770655,3,2
1239548400,0,4,2,2,0,52,0.19996436,0.03421848,16.22216524,1,3
1239634800,0,9,4,5,0,117,0.44991981,0.07699158,36.49987179,3,6
1239721200,1,11,5,7,0,156,0.59989308,0.10265544,48.66649572,4,8
1239807600,1,6,3,4,0,91,0.34993763,0.05988234,28.38878917,4,3
1239894000,0,7,3,4,0,91,0.34993763,0.05988234,28.38878917,3,4
1239980400,1,6,4,3,0,91,0.34993763,0.05988234,28.38878917,5,2
1240066800,0,5,1,4,0,65,0.24995545,0.0427731,20.27770655,0,5
1240153200,2,2,1,3,0,52,0.19996436,0.03421848,16.22216524,2,2
1240239600,0,7,7,0,0,91,0.34993763,0.05988234,28.38878917,5,2
1240326000,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,2,1
1240412400,0,8,5,3,0,104,0.39992872,0.06843696,32.44433048,4,4
1240498800,1,7,4,4,0,104,0.39992872,0.06843696,32.44433048,4,4
1240585200,2,5,3,4,0,91,0.34993763,0.05988234,28.38878917,5,2
1240671600,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,1,2
1240758000,0,4,2,2,0,52,0.19996436,0.03421848,16.22216524,2,2
1240844400,2,5,6,1,0,91,0.34993763,0.05988234,28.38878917,7,0
1240930800,1,2,3,0,0,39,0.14997327,0.02566386,12.16662393,2,1
1241017200,0,3,1,0,2,39,0.14997327,0.02566386,12.16662393,0,3
