@relation mail

@attribute IP real
@attribute TIME real
@attribute Message-ID real
@attribute Subject real
@attribute From real
@attribute text_type {HTML, text}
@attribute multipart {non-multipart, multipart_text, multipart_non-text}
@attribute url real
@attribute url_per real
@attribute spam_word_per real
@attribute spam_f real
@attribute spam {non-spam, spam}

@data
41551,1230562800,10,21357,30046,text,multipart_text,4,0.05343511,0.13740458,15.20324566,spam
41830,1230562800,15,22073,30824,text,non-multipart,20,0.15108245,0.09166283,19.17298420,non-spam
40045,1230562800,0,20873,30449,text,non-multipart,6,0.08236347,0.12533572,10.96781780,non-spam
40056,1230562800,0,20824,30449,text,non-multipart,6,0.08435208,0.13569682,11.79730312,non-spam
41634,1230562800,4,21666,30049,text,multipart_text,1,0.01153613,0.12295082,13.12375054,spam
41142,1230573099,0,21506,30228,text,multipart_text,3,0.02386549,0.07864762,21.54929246,spam
41661,1230685418,9,22000,30335,text,multipart_text,2,0.01946856,0.16416732,24.23464388,spam
40955,1230686800,17,20247,30566,HTML,non-multipart,3,0.09919571,0.00000000,0.00000000,spam
40187,1230694990,13,20111,30228,text,multipart_text,3,0.08203125,0.12304688,10.66140096,spam
41732,1230709464,0,21549,30083,text,multipart_text,2,0.05216360,0.22050978,16.60460194,spam
40051,1230714517,0,20772,30449,text,non-multipart,6,0.08219178,0.12150089,11.22652973,non-spam
41191,1230715417,0,21965,30673,text,multipart_text,1,0.00910036,0.13260530,14.08608051,spam
40508,1230735600,0,22362,30505,text,multipart_text,2,0.05216360,0.22050978,16.60460194,spam
41146,1230735600,0,22311,30094,text,multipart_text,2,0.03761755,0.15718764,13.72172788,spam
40551,1230771798,4,20486,30135,text,multipart_text,2,0.08333333,0.08806818,5.98737799,spam
40846,1230797870,9,20519,30278,text,multipart_text,4,0.05353728,0.13766730,15.20324566,spam
40521,1230810969,4,20078,30333,text,multipart_text,2,0.02048364,0.14679943,22.23354631,spam
40044,1230818295,0,20829,30449,text,non-multipart,6,0.08712121,0.12026515,9.55274195,non-spam
40711,1230822000,0,20400,30626,text,multipart_text,2,0.01800000,0.13650000,32.15777508,spam
40264,1230822000,17,20247,30566,HTML,non-multipart,5,0.08406027,0.00000000,0.00000000,spam
41270,1230822000,12,22330,30557,text,multipart_text,3,0.06293706,0.07042957,5.30163459,spam
40314,1230858928,0,20117,30242,text,multipart_text,5,0.10251631,0.13140727,11.89682882,spam
41727,1230876361,4,21424,30178,text,multipart_text,5,0.10270775,0.13165266,11.89682882,spam
40825,1230885877,4,20126,30085,text,multipart_text,2,0.02894955,0.15632754,16.17819764,spam
41549,1230908400,4,21878,30550,text,multipart_text,1,0.02732596,0.11515940,6.39920034,spam
41189,1230908400,4,22046,30411,text,multipart_text,2,0.02277256,0.11528608,17.68472424,spam
40047,1230908400,0,22135,30448,text,non-multipart,5,0.08437271,0.13096112,9.89769119,non-spam
40748,1230908400,4,20596,30176,text,multipart_text,3,0.02115230,0.11361805,30.25506644,spam
41303,1230910677,13,21455,30583,text,multipart_text,1,0.01208459,0.15609265,15.45106033,spam
41660,1230929907,0,21504,30666,text,multipart_text,2,0.04953560,0.13560372,13.29642115,spam
41129,1230945965,0,21506,30019,text,multipart_text,3,0.02388276,0.07870454,21.54929246,spam
41439,1230986914,4,21553,30484,text,multipart_text,2,0.02590993,0.11289328,11.79816550,spam
40054,1230994800,0,20822,30449,text,non-multipart,6,0.08673790,0.12916405,9.98392850,non-spam
41657,1230994800,4,22001,30167,text,multipart_text,2,0.01711230,0.10203209,17.98177257,spam
40934,1230994800,4,21639,30224,text,multipart_text,3,0.03479125,0.09343936,14.37156521,spam
40177,1230994800,0,22376,30169,text,multipart_text,6,0.05269762,0.08958595,10.71737682,spam
41144,1231031719,3,21478,30278,text,multipart_text,1,0.00889831,0.10487288,25.28713104,spam
40335,1231081200,0,21829,30084,text,multipart_text,3,0.02388708,0.07871878,21.54929246,spam
40365,1231081200,0,21894,30544,text,multipart_text,2,0.01709037,0.10190130,17.98177257,spam
40045,1231081200,0,20814,30449,text,non-multipart,6,0.08216731,0.12146472,11.22652973,non-spam
41845,1231098359,0,20424,30534,text,non-multipart,9,0.19203951,0.11766415,10.50527224,non-spam
40857,1231101946,4,20563,30143,text,multipart_text,2,0.00438180,0.01774629,8.01658108,spam
41314,1231105005,0,22105,30618,text,multipart_text,2,0.00438244,0.01774889,8.01658108,spam
41256,1231124620,4,21788,30201,text,multipart_text,3,0.04226705,0.15273775,27.76316099,spam
41605,1231167600,10,21582,30413,text,multipart_text,2,0.01897083,0.18069718,25.41472306,spam
